temperature ( C ),smiles1,smiles2,smiles3,smiles4,smiles5,smiles6,conc1,conc2,conc3,conc4,conc5,conc6,log(cond) (uS/cm)
20,CCOC=O,CC1COC(=O)O1,CCOC(=O)OCC,FC(F)(F)C(F)(F)COCCOCCOCC(F)(F)C(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,70,10,10,0,0
20,COC(=O)OC,C1COC(=O)O1,COC(=O)OC,COCCOCCOCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,75,5,10,0,0
20,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,C1COC(=O)O1,C1COC(=O)O1,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,5,70,10,0,0
20,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,CCC#N,C1COC(=O)O1,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,10,65,10,0,0
20,CCC#N,C1COC(=O)O1,FC(F)(F)COCCOCCOCCOCC(F)(F)F,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,15,60,10,0,0
20,CC#N,CCOC(=O)OC,FC(F)(F)COCCOCCOCCOCC(F)(F)F,FC(F)(F)C(F)(F)COCCOCCOCC(F)(F)C(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,20,55,10,0,0
20,COC(=O)OC,CCC(=O)OC,CCC(=O)C,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,25,50,10,0,0
20,COC(=O)OC,CC1COC(=O)O1,C(Cl)Cl,O1CCOCC1,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,30,45,10,0,0
20,COC(=O)CC(F)(F)F,CN(C)C=O,C(Cl)Cl,O1CCOCC1,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,35,40,10,0,0
20,CCCC#N,CC1COC(=O)O1,CCOC(=O)OC,FC(F)(F)COCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,40,35,10,0,0
20,CCC(=O)OC,CN(C)C=O,CCCCOC=O,FC(F)(F)C(F)(F)COCCOCCOCC(F)(F)C(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,45,30,10,0,0
20,CCOC=O,CS(=O)C,FC(F)(F)C(F)(F)COCCOCCOCC(F)(F)C(F)(F)F,O1CCOCC1,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,50,25,10,0,0
20,CCCC(=O)OC,CCCCOC=O,C1COC(=O)O1,FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,55,20,10,0,0
20,CCOC(=O)OCC,CS(=O)C,C1COC(=O)O1,C1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,60,15,10,0,0
20,CCCCOC(=O)C,CCOC(=O)OCC,C1COC(=O)O1,CC1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,65,10,10,0,0
20,COC(=O)OC,CCC#N,CCOC(=O)OC,C(Cl)Cl,[Li+].[N+](=O)([O-])[O-]  ,O,5,10,70,5,10,0,0
20,COC(=O)CC(F)(F)F,CCCC(=O)OC,CC1COC(=O)O1,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,5,65,10,0,0
20,CCOC(=O)OC,CCOC(=O)OCC,CCOC(=O)OC,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,10,60,10,0,0
20,COC(=O)OC,C(Cl)Cl,COCCOC,COCCOCCOCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,15,55,10,0,0
20,C1CCS(=O)(=O)C1,C1COC(=O)O1,CCC(=O)OC,CCCC#N,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,20,50,10,0,0
20,CC#N,C1C(OC(=O)O1)F,COC(=O)OC,CC1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,25,45,10,0,0
20,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,CN(C)C=O,CCCCOC(=O)C,FC(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,30,40,10,0,0
20,C1CCS(=O)(=O)C1,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,CC1COC(=O)O1,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,35,35,10,0,0
20,C1CCS(=O)(=O)C1,CCOC(=O)OCC,CC#N,C(Cl)Cl,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,40,30,10,0,0
20,C1COC(=O)O1,CCOC(=O)OCC,CC#N,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,45,25,10,0,0
20,CCOC=O,CCCCOC(=O)C,CC#N,FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,50,20,10,0,0
20,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,CCOC(=O)OCC,CC(=O)OC,CC1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,55,15,10,0,0
20,C1CCS(=O)(=O)C1,CCC(=O)OC,COC=O,C1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,60,10,10,0,0
20,C1COC(=O)O1,CCC#N,COC(=O)OC,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,15,65,5,10,0,0
20,CCOC(=O)OC,COC(=O)OC,CCOC(=O)OCC,O1CCOCC1,[Li+].[N+](=O)([O-])[O-]  ,O,5,20,5,60,10,0,0
20,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,CCOC(=O)OC,C1C(OC(=O)O1)F,FC(F)(F)COCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,20,10,55,10,0,0
20,C(C(F)(F)F)OC(C(F)F)(F)F,CCC(=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,20,15,50,10,0,0
20,COC(=O)OC,C1COC(=O)O1,C1C(OC(=O)O1)F,CC1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,20,20,45,10,0,0
20,COC(=O)OC,CC#N,C1COC(=O)O1,FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,20,25,40,10,0,0
20,C1COC(=O)O1,C1COC(=O)O1,FC(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)F,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,20,30,35,10,0,0
20,CCCC#N,CCOC(=O)OCC,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,C(Cl)Cl,[Li+].[N+](=O)([O-])[O-]  ,O,5,20,35,30,10,0,0
20,CCC(=O)C,CCCC(=O)OC,CC#N,C1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,20,40,25,10,0,0
20,CCOC(=O)OC,CCC(=O)OC,CCC#N,COC(=O)OC,[Li+].[N+](=O)([O-])[O-]  ,O,5,20,45,20,10,0,0
20,CCCCOC(=O)C,CCOC(=O)OC,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,20,50,15,10,0,0
20,CCCCOC=O,CCCCOC(=O)C,COCCOC(=O)OC,O1CCOCC1,[Li+].[N+](=O)([O-])[O-]  ,O,5,20,55,10,10,0,0
20,C1COC(=O)O1,CCCC#N,CS(=O)C,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,20,60,5,10,0,0
20,CC#N,C1COC(=O)O1,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,5,25,5,55,10,0,0
20,C(C(F)(F)F)OC(C(F)F)(F)F,C1=COC(=O)O1,CS(=O)C,C1C(OC(=O)O1)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,25,10,50,10,0,0
20,CCCC#N,COCCOC(=O)OC,CCOC(=O)OC,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,25,15,45,10,0,0
20,CN(C)C=O,CC1COC(=O)O1,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,25,20,40,10,0,0
20,CCOC(=O)OC,CCCC#N,CCOC(=O)OC,FC(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,25,25,35,10,0,0
20,C1COC(=O)O1,CCOC(=O)OC,FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,FC(F)(F)C(F)(F)COCCOCCOCC(F)(F)C(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,25,30,30,10,0,0
20,COC(=O)CC(F)(F)F,CN(C)C=O,C1=COC(=O)O1,FC(F)(F)COCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,25,35,25,10,0,0
20,CN(C)C=O,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,C(Cl)Cl,O1CCOCC1,[Li+].[N+](=O)([O-])[O-]  ,O,5,25,40,20,10,0,0
20,C1CCS(=O)(=O)C1,CCCCOC(=O)C,CC#N,CS(=O)C,[Li+].[N+](=O)([O-])[O-]  ,O,5,25,45,15,10,0,0
20,C1CCS(=O)(=O)C1,CCOC=O,CC1COC(=O)O1,FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,25,50,10,10,0,0
20,CCC(=O)OC,CCCCOC=O,CC(=O)OC,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,25,55,5,10,0,0
20,COC(=O)OC,CCCC#N,CCCCOC=O,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,30,5,50,10,0,0
20,C1COC(=O)O1,CCOC(=O)OCC,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,O1CCOCC1,[Li+].[N+](=O)([O-])[O-]  ,O,5,30,10,45,10,0,0
20,CCC(=O)OC,CCOC(=O)OCC,CCOC(=O)OC,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,30,15,40,10,0,0
20,C1COC(=O)O1,CCOC(=O)OC,CC1COC(=O)O1,FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,30,20,35,10,0,0
20,CCOC=O,CCCC(=O)OC,C1C(OC(=O)O1)F,CC1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,30,25,30,10,0,0
20,CN(C)C=O,CCOC(=O)OCC,COCCOC(=O)OC,CC1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,30,30,25,10,0,0
20,C1C(OC(=O)O1)F,COC(=O)OC,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,30,35,20,10,0,0
20,C1CCS(=O)(=O)C1,CCCC(=O)OC,CC1COC(=O)O1,COCCOCCOCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,30,40,15,10,0,0
20,CCC(=O)OC,CC1COC(=O)O1,FC(F)(F)COCCOCCOCC(F)(F)F,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,5,30,45,10,10,0,0
20,CCOC(=O)OC,COC=O,CN(C)C=O,CCCC(=O)OC,[Li+].[N+](=O)([O-])[O-]  ,O,5,30,50,5,10,0,0
20,COC(=O)OC,COC=O,FC(F)(F)COCCOCCOCCOCC(F)(F)F,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,35,5,45,10,0,0
20,COC(=O)OC,COC=O,C1C(OC(=O)O1)F,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,5,35,10,40,10,0,0
20,COC=O,CC1COC(=O)O1,CC1COC(=O)O1,CC(=O)OC,[Li+].[N+](=O)([O-])[O-]  ,O,5,35,15,35,10,0,0
20,CCCCOC(=O)C,CC(=O)OC,CCOC(=O)OC,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,35,20,30,10,0,0
20,COC(=O)OC,CCCC(=O)OC,C(Cl)Cl,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,35,25,25,10,0,0
20,COC(=O)OC,C1=COC(=O)O1,CCOC(=O)OCC,C1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,35,30,20,10,0,0
20,COC(=O)OC,CCCCOC=O,CC#N,CS(=O)C,[Li+].[N+](=O)([O-])[O-]  ,O,5,35,35,15,10,0,0
20,CS(=O)C,CC(=O)OC,COCCOCCOCCOCCOC,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,35,40,10,10,0,0
20,CCC(=O)OC,CCC#N,CC(=O)OC,FC(F)(F)C(F)(F)COCCOCCOCC(F)(F)C(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,35,45,5,10,0,0
20,CCCC#N,C1COC(=O)O1,COCCOCCOC,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,5,40,5,40,10,0,0
20,C1CCS(=O)(=O)C1,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,CCC(=O)OC,CCC#N,[Li+].[N+](=O)([O-])[O-]  ,O,5,40,10,35,10,0,0
20,COC(=O)CC(F)(F)F,C(C(F)(F)F)OC(C(F)F)(F)F,CCC#N,CCC(=O)C,[Li+].[N+](=O)([O-])[O-]  ,O,5,40,15,30,10,0,0
20,CCC(=O)OC,CCOC(=O)OCC,CC#N,COCCOC(=O)OC,[Li+].[N+](=O)([O-])[O-]  ,O,5,40,20,25,10,0,0
20,C1COC(=O)O1,COC=O,COCCOCCOC,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,40,25,20,10,0,0
20,CCOC(=O)OC,C1C(OC(=O)O1)F,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,40,30,15,10,0,0
20,CCCC#N,CCCC(=O)OC,CS(=O)C,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,40,35,10,10,0,0
20,C(C(F)(F)F)OC(C(F)F)(F)F,CC1COC(=O)O1,C1COC(=O)O1,COC(=O)OC,[Li+].[N+](=O)([O-])[O-]  ,O,5,40,40,5,10,0,0
20,CCOC(=O)OCC,COCCOC(=O)OC,FC(F)(F)COCCOCCOCCOCC(F)(F)F,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,45,5,35,10,0,0
20,COC(=O)OC,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,C1COC(=O)O1,COC(=O)OC,[Li+].[N+](=O)([O-])[O-]  ,O,5,45,10,30,10,0,0
20,CCC(=O)C,CCCC(=O)OC,C1COC(=O)O1,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,45,15,25,10,0,0
20,COC(=O)OC,CCOC=O,FC(F)(F)COCCOCCOCCOCC(F)(F)F,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,45,20,20,10,0,0
20,COCCOC(=O)OC,C1COC(=O)O1,COC(=O)OC,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,45,25,15,10,0,0
20,CCOC(=O)OCC,CS(=O)C,CC1COC(=O)O1,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,5,45,30,10,10,0,0
20,COC(=O)OC,CCOC(=O)OC,FC(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)F,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,45,35,5,10,0,0
20,COC(=O)OC,CCCCOC(=O)C,COC(=O)OC,CC1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,50,5,30,10,0,0
20,CC#N,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,FC(F)(F)C(F)(F)COCCOCCOCC(F)(F)C(F)(F)F,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,50,10,25,10,0,0
20,C1CCS(=O)(=O)C1,COC(=O)OC,CCOC(=O)OCC,CCOC(=O)OC,[Li+].[N+](=O)([O-])[O-]  ,O,5,50,15,20,10,0,0
20,COC(=O)OC,C1COC(=O)O1,FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,50,20,15,10,0,0
20,CCCCOC=O,CCCCOC(=O)C,CC#N,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,50,25,10,10,0,0
20,COC(=O)OC,CCC#N,COCCOC(=O)OC,COC(=O)OC,[Li+].[N+](=O)([O-])[O-]  ,O,5,50,30,5,10,0,0
20,COC(=O)OC,CCC(=O)C,CCCCOC(=O)C,FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,55,5,25,10,0,0
20,C1COC(=O)O1,CCC#N,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,COCCOCCOCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,55,10,20,10,0,0
20,C(C(F)(F)F)OC(C(F)F)(F)F,CC(=O)OC,C1COC(=O)O1,COCCOCCOCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,55,15,15,10,0,0
20,COC(=O)OC,CC1COC(=O)O1,CC(=O)OC,FC(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,55,20,10,10,0,0
20,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,CCOC(=O)OC,CCOC=O,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,55,25,5,10,0,0
20,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,CN(C)C=O,CC(=O)OC,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,60,5,20,10,0,0
20,C1COC(=O)O1,CCCC#N,CCCCOC(=O)C,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,60,10,15,10,0,0
20,CCCC#N,CCOC(=O)OCC,CCOC(=O)OC,COCCOCCOCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,60,15,10,10,0,0
20,C1COC(=O)O1,COC(=O)OC,COCCOC,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,60,20,5,10,0,0
20,CC1COC(=O)O1,COC(=O)OC,COCCOCCOC,O1CCOCC1,[Li+].[N+](=O)([O-])[O-]  ,O,5,65,5,15,10,0,0
20,CCCC(=O)OC,C1COC(=O)O1,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,5,65,10,10,10,0,0
20,C1CCS(=O)(=O)C1,CCOC(=O)OC,FC(F)(F)COCCOCCOCCOCC(F)(F)F,C(Cl)Cl,[Li+].[N+](=O)([O-])[O-]  ,O,5,65,15,5,10,0,0
20,CC1COC(=O)O1,CC1COC(=O)O1,CCOC(=O)OC,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,70,5,10,10,0,0
20,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,C(C(F)(F)F)OC(C(F)F)(F)F,C1COC(=O)O1,CC1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,70,10,5,10,0,0
20,COC(=O)OC,C1COC(=O)O1,C(Cl)Cl,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,5,75,5,5,10,0,0
20,C(C(F)(F)F)OC(C(F)F)(F)F,CCOC(=O)OCC,CC1COC(=O)O1,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,5,70,10,0,0
20,C1CCS(=O)(=O)C1,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,CN(C)C=O,COCCOCCOCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,10,65,10,0,0
20,CN(C)C=O,FC(F)(F)COCCOCCOCCOCC(F)(F)F,FC(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)F,COCCOCCOCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,15,60,10,0,0
20,COC(=O)OC,CCCCOC=O,COC(=O)OC,CCOC(=O)OC,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,20,55,10,0,0
20,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,CCCC#N,CN(C)C=O,C1C(OC(=O)O1)F,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,25,50,10,0,0
20,CCC(=O)C,COC=O,C1COC(=O)O1,FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,30,45,10,0,0
20,C(C(F)(F)F)OC(C(F)F)(F)F,C1COC(=O)O1,FC(F)(F)C(F)(F)COCCOCCOCC(F)(F)C(F)(F)F,COCCOCCOCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,35,40,10,0,0
20,CCOC=O,COCCOC(=O)OC,COCCOCCOCCOCCOC,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,40,35,10,0,0
20,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,C1=COC(=O)O1,CC#N,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,45,30,10,0,0
20,COC(=O)CC(F)(F)F,CC(=O)OC,CCOC(=O)OC,COCCOCCOCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,50,25,10,0,0
20,COC(=O)OC,C1COC(=O)O1,CCOC(=O)OC,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,55,20,10,0,0
20,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,CCCC(=O)OC,C1COC(=O)O1,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,60,15,10,0,0
20,C(C(F)(F)F)OC(C(F)F)(F)F,C1COC(=O)O1,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,65,10,10,0,0
20,CCC(=O)OC,COC=O,CS(=O)C,FC(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,10,5,70,5,10,0,0
20,CCOC(=O)OCC,CS(=O)C,COC(=O)OC,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,10,10,5,65,10,0,0
20,C1COC(=O)O1,FC(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)F,FC(F)(F)C(F)(F)COCCOCCOCC(F)(F)C(F)(F)F,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,10,10,10,60,10,0,0
20,COC(=O)OC,CCOC=O,C1COC(=O)O1,C(Cl)Cl,[Li+].[N+](=O)([O-])[O-]  ,O,10,10,15,55,10,0,0
20,C(C(C(F)F)(F)F)OC(=O)C(F)(F)F,COC(=O)OC,CCOC(=O)OC,FC(F)(F)COCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,10,10,20,50,10,0,0
20,CS(=O)C,COCCOC,COCCOCCOCCOCCOC,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,10,10,25,45,10,0,0
20,C1CCS(=O)(=O)C1,CCOC(=O)OCC,CCOC(=O)OC,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,10,10,30,40,10,0,0
20,CCOC(=O)OC,CCC#N,C1C(OC(=O)O1)F,FC(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,10,10,35,35,10,0,0
20,CCCC#N,CCOC=O,CC(=O)OC,FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,10,10,40,30,10,0,0
20,C1COC(=O)O1,CCCCOC(=O)C,CC(=O)OC,C(Cl)Cl,[Li+].[N+](=O)([O-])[O-]  ,O,10,10,45,25,10,0,0
20,C(C(F)(F)F)OC(C(F)F)(F)F,CCCCOC(=O)C,FC(F)(F)COCCOCCOCCOCC(F)(F)F,FC(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,10,10,50,20,10,0,0
